time,GHB_2_6_10,GHB_3_6_10,ESTUARY2,ESTUARY3
1.000000000000,-443.8421454125422,-10091.38239617313,-6655.787314473252,-151509.3340002224
1.083333333333,-461.3434414046819,-10102.16918783009,-6918.316953790330,-151722.8719946184
1.166666666667,-440.3684283604767,-8802.320883764756,-6603.683037772153,-132265.8949010008
1.250000000000,-418.1059550359421,-7974.984289462009,-6269.670910481369,-119878.9480696631
1.333333333333,-412.2816579330911,-7991.806638700066,-6182.183252991973,-120142.8409609235
1.416666666667,-429.9121127231874,-8825.044912706502,-6446.492405407419,-132646.8498462800
1.500000000000,-452.4617343680081,-9552.238423550691,-6784.579265813963,-143557.3077936379
1.583333333333,-459.9292350630967,-9528.041142216651,-6896.431404124845,-143195.7475380329
1.666666666667,-442.9617493091977,-8657.182998694698,-6641.758614091166,-130133.9762554908
1.750000000000,-417.5991312579056,-7775.784488694057,-6261.160926572642,-116914.1946594145
1.833333333333,-407.6433498975829,-7710.181934528473,-6111.670524297023,-115931.6007350214
1.916666666667,-422.3492744174656,-8516.093630939953,-6332.112433361467,-128022.0114355262
2.000000000000,-446.2846700122680,-9371.372909494548,-6691.002954006616,-140853.2300207465
2.083333333333,-457.4064715546560,-9507.541736579606,-6857.699295880444,-142898.0153924028
2.166666666667,-444.7637346920149,-8776.343406256161,-6667.930583478594,-131932.5257956285
2.250000000000,-422.2686101414953,-7950.766675566251,-6330.378628260512,-119551.5988619293
2.333333333333,-410.1252138927227,-7747.028804661295,-6148.106874498910,-116498.4800934718
2.416666666667,-422.3072006877778,-8461.253488594795,-6330.722228893046,-127214.9950758000
2.500000000000,-445.6212081141778,-9322.970207651473,-6680.324106640074,-140144.0568505160
2.583333333333,-459.7509234359237,-9595.586576199508,-6892.165774976645,-144236.7605720897
2.666666666667,-449.2444448966772,-8920.142385378043,-6734.466144833545,-134108.6939425757
2.750000000000,-423.8285352070608,-7945.501736805652,-6353.126207822790,-119492.8041921217
2.833333333333,-406.9235367907035,-7576.715389943063,-6099.453125270386,-113964.8223993431
2.916666666667,-415.4762612917338,-8210.496129573725,-6227.651739480310,-123475.3981700788
3.000000000000,-439.1010009966587,-9148.841839024832,-6581.936677886312,-137554.4671523399
3.083333333333,-456.2915400092169,-9562.408790376303,-6839.719408537837,-143761.7730856156
3.166666666667,-449.7954712418348,-9018.940869460057,-6742.201967159514,-135613.5356107624
3.250000000000,-427.8992764447857,-8129.081132106019,-6413.680145844462,-122269.4594200965
3.333333333333,-410.6193579335691,-7685.816238791689,-6154.401900884656,-115624.3617017607
3.416666666667,-416.0423023490784,-8178.960669351900,-6235.669000828044,-123025.4460145740
3.500000000000,-438.5291068904881,-9101.271815781454,-6572.897234176276,-136864.0571087468
3.583333333333,-457.3458185915460,-9600.609619806990,-6855.075334330000,-144358.0957058621
3.666666666667,-454.2685423691917,-9180.390505463782,-6808.841807980578,-138058.8277197731
3.750000000000,-430.4842387778263,-8172.204932712651,-6451.999706527569,-122940.1292375426
3.833333333333,-408.9637500810578,-7569.139273289449,-6129.113712692986,-113898.2920977632
3.916666666667,-409.8949569166736,-7936.092682404076,-6143.005466434481,-119406.7774434790
4.000000000000,-431.6981062898038,-8901.329095792307,-6469.980143727117,-133889.5188804273
4.083333333333,-452.6644706296469,-9518.460790791161,-6784.407113176558,-143150.6702486194
4.166666666667,-453.6039709125986,-9245.320812255073,-6798.430163306357,-139057.7509368132
4.250000000000,-433.7880503824936,-8344.748682947269,-6501.119058092690,-125553.3835502419
4.333333333333,-413.4436991579387,-7725.404723755193,-6195.880406697755,-116267.4767269921
4.416666666667,-411.2348388144861,-7932.235869561813,-6162.676320366802,-119374.2126802334
4.500000000000,-431.1856077359385,-8847.029535563768,-6461.870958228768,-133100.3746661607
4.583333333333,-452.8886673073188,-9520.566420063737,-6787.352549704552,-143207.6690864591
4.666666666667,-457.2710144708695,-9383.636818125142,-6853.022650333883,-141157.9722985293
4.750000000000,-437.4531839434086,-8442.969250673037,-6555.686753496713,-127052.2432135503
4.833333333333,-413.0125576855731,-7648.762417809253,-6189.007039264669,-115143.4695756239
4.916666666667,-406.4506723887067,-7726.560928377339,-6090.510387783995,-116314.7963271663
5.000000000000,-423.9700011197473,-8610.195757138223,-6353.236577743821,-129573.6541682188
5.083333333333,-447.3318189121279,-9400.692186177426,-6703.603431788939,-141435.4126861002
5.166666666667,-455.2125922882703,-9401.934843613033,-6821.754256819786,-141458.3632971193
5.250000000000,-439.9755690175539,-8603.527713978747,-6593.134932160241,-129486.5993985187
5.333333333333,-417.7315268201722,-7830.101096038950,-6259.408122510314,-117889.5864097801
5.416666666667,-408.7485420152999,-7763.571674348173,-6124.598452173873,-116896.0538402246
5.500000000000,-423.6146810280733,-8552.534059520442,-6347.530105969176,-128734.8840364847
5.583333333333,-446.8876091900445,-9371.784832380281,-6696.567274872697,-141028.0109363314
5.666666666667,-457.9661148975453,-9510.436722216344,-6862.688261821969,-143112.1446520788
5.750000000000,-444.4041359051760,-8744.672118867689,-6659.198604067331,-131630.0600407323
5.833333333333,-418.7758366558527,-7807.107969049612,-6274.711029919937,-117571.0317615576
5.916666666667,-404.9279346046949,-7577.451670905787,-6066.930139088778,-114130.6519502706
6.000000000000,-416.5476053471075,-8304.062386072099,-6241.167504983521,-125034.2656072775
6.083333333333,-440.5088021327082,-9211.286847729010,-6600.533304745261,-138647.0374858495
6.166666666667,-455.1393306065759,-9504.624489334801,-6819.940162110517,-143051.4773154773
6.250000000000,-445.5417287704208,-8861.101573198628,-6675.922008504651,-133403.0250214533
6.333333333333,-423.2021288065106,-7996.780021045829,-6340.770772475870,-120442.6354669505
6.416666666667,-408.0389749344733,-7656.977238883486,-6113.266390304450,-115350.0570378517
6.500000000000,-416.8650161027791,-8267.579982694213,-6245.604345764113,-124513.5480128281
6.583333333333,-439.8969645018819,-9166.665533185389,-6591.035709046613,-138004.2399777828
6.666666666667,-456.8036289235519,-9569.177372979928,-6844.589358153448,-144046.2970170526
6.750000000000,-450.0553113082587,-9018.009231885186,-6743.315394763116,-135783.1696351188
